movie_id,title,tags
599281,Fear of Rain,"['Thriller', 'Horror', 'Drama', 'A', 'teenage', 'girl', 'living', 'with', 'schizophrenia', 'begins', 'to', 'suspect', 'her', 'neighbor', 'has', 'kidnapped', 'a', 'child.', 'Her', 'parents', 'try', 'desperately', 'to', 'help', 'her', 'live', 'a', 'normal', 'life,', 'without', 'exposing', 'their', 'own', 'tragic', 'secrets,', 'and', 'the', 'only', 'person', 'who', 'believes', 'her', 'is', 'Caleb', '–', 'a', 'boy', 'she', 'isn’t', 'even', 'sure', 'exists.', 'CastilleLandon', 'KatherineHeigl', 'MadisonIseman', 'IsraelBroussard']"
601666,I Care a Lot,"['Comedy', 'Crime', 'Thriller', 'A', 'court-appointed', 'legal', 'guardian', 'defrauds', 'her', 'older', 'clients', 'and', 'traps', 'them', 'under', 'her', 'care.', 'But', 'her', 'latest', 'mark', 'comes', 'with', 'some', 'unexpected', 'baggage.', 'JBlakeson', 'RosamundPike', 'PeterDinklage', 'EizaGonzález']"
621876,Flora & Ulysses,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'When', 'Flora', 'rescues', 'a', 'squirrel', 'she', 'names', 'Ulysses,', 'she', 'is', 'amazed', 'to', 'discover', 'he', 'possesses', 'unique', 'superhero', 'powers,', 'which', 'take', 'them', 'on', 'an', 'adventure', 'of', 'humorous', 'complications', 'that', 'ultimately', 'change', ""Flora's"", 'life--and', 'her', 'outlook--forever.', 'LenaKhan', 'MatildaLawler', 'AlysonHannigan', 'BenSchwartz']"
579051,Silk Road,"['Crime', 'Thriller', 'Drama', 'The', 'true', 'story', 'of', 'Ross', 'Ulbricht,', 'the', 'charismatic', 'young', 'tech-mastermind', 'who', 'unleashed', 'the', 'darknet', 'website', 'Silk', 'Road,', 'and', 'the', 'corrupt', 'DEA', 'agent', 'determined', 'to', 'bring', 'down', 'his', 'billion-dollar', 'empire.', 'TillerRussell', 'JasonClarke', 'NickRobinson', 'KatieAselton']"
587807,Tom & Jerry,"['Comedy', 'Family', 'Animation', 'Tom', 'the', 'cat', 'and', 'Jerry', 'the', 'mouse', 'get', 'kicked', 'out', 'of', 'their', 'home', 'and', 'relocate', 'to', 'a', 'fancy', 'New', 'York', 'hotel,', 'where', 'a', 'scrappy', 'employee', 'named', 'Kayla', 'will', 'lose', 'her', 'job', 'if', 'she', 'can’t', 'evict', 'Jerry', 'before', 'a', 'high-class', 'wedding', 'at', 'the', 'hotel.', 'Her', 'solution?', 'Hiring', 'Tom', 'to', 'get', 'rid', 'of', 'the', 'pesky', 'mouse.', 'TimStory', 'ChloëGraceMoretz', 'MichaelPeña', 'ColinJost']"
566076,The United States vs. Billie Holiday,"['Music', 'Drama', 'History', 'Billie', 'Holiday', 'spent', 'much', 'of', 'her', 'career', 'being', 'adored', 'by', 'fans.', 'In', 'the', ""1940's,"", 'the', 'government', 'targeted', 'Holiday', 'in', 'a', 'growing', 'effort', 'to', 'racialize', 'the', 'war', 'on', 'drugs,', 'ultimately', 'aiming', 'to', 'stop', 'her', 'from', 'singing', 'her', 'controversial', 'ballad,', '""Strange', 'Fruit.""', 'LeeDaniels', 'AndraDay', 'TrevanteRhodes', 'GarrettHedlund']"
544401,Cherry,"['Crime', 'Drama', 'Cherry', 'drifts', 'from', 'college', 'dropout', 'to', 'army', 'medic', 'in', 'Iraq', '-', 'anchored', 'only', 'by', 'his', 'true', 'love,', 'Emily.', 'But', 'after', 'returning', 'from', 'the', 'war', 'with', 'PTSD,', 'his', 'life', 'spirals', 'into', 'drugs', 'and', 'crime', 'as', 'he', 'struggles', 'to', 'find', 'his', 'place', 'in', 'the', 'world.', 'AnthonyandJoeRusso', 'TomHolland', 'CiaraBravo', 'JackReynor']"
580532,Crisis,"['Thriller', 'Crime', 'Drama', 'Three', 'stories', 'about', 'the', 'world', 'of', 'opioids', 'collide:', 'a', 'drug', 'trafficker', 'arranges', 'a', 'multi-cartel', 'Fentanyl', 'smuggling', 'operation', 'between', 'Canada', 'and', 'the', 'U.S.,', 'an', 'architect', 'recovering', 'from', 'an', 'OxyContin', 'addiction', 'tracks', 'down', 'the', 'truth', 'behind', 'her', ""son's"", 'involvement', 'with', 'narcotics,', 'and', 'a', 'university', 'professor', 'battles', 'unexpected', 'revelations', 'about', 'his', 'research', 'employer,', 'a', 'drug', 'company', 'with', 'deep', 'government', 'influence', 'bringing', 'a', 'new', '""non-addictive""', 'painkiller', 'to', 'market.', 'NicholasJarecki', 'GaryOldman', 'ArmieHammer', 'EvangelineLilly']"
654754,Billie Eilish: The World's a Little Blurry,"['Documentary', 'Music', 'This', 'documentary', 'offers', 'a', 'deeply', 'intimate', 'look', 'at', 'extraordinary', 'teenager', 'Billie', 'Eilish.', 'Award-winning', 'filmmaker', 'R.J.', 'Cutler', 'follows', 'her', 'journey', 'on', 'the', 'road,', 'onstage,', 'and', 'at', 'home', 'with', 'her', 'family', 'as', 'the', 'writing', 'and', 'recording', 'of', 'her', 'debut', 'album', 'changes', 'her', 'life.', 'R.J.Cutler', 'BillieEilish', ""FinneasO'Connell"", 'MaggieBaird']"
621707,The Vigil,"['Horror', 'Thriller', 'Mystery', 'A', 'man', 'providing', 'overnight', 'watch', 'to', 'a', 'deceased', 'member', 'of', 'his', 'former', 'Orthodox', 'Jewish', 'community', 'finds', 'himself', 'opposite', 'a', 'malevolent', 'entity.', 'KeithThomas', 'DaveDavis', 'MenasheLustig', 'MalkyGoldman']"
